year,level,course,sex,enrolment_preu
1980,Junior College 1,Arts,MF,1158.0
1980,Junior College 1,Arts,F,903.0
1980,Junior College 1,Arts,M,255.0
1980,Junior College 1,Commerce,MF,1210.0
1980,Junior College 1,Commerce,F,995.0
1980,Junior College 1,Commerce,M,215.0
1980,Junior College 1,Science,MF,3301.0
1980,Junior College 1,Science,F,1355.0
1980,Junior College 1,Science,M,1946.0
1980,Junior College 2,Arts,MF,1167.0
1980,Junior College 2,Arts,F,889.0
1980,Junior College 2,Arts,M,278.0
1980,Junior College 2,Commerce,MF,852.0
1980,Junior College 2,Commerce,F,724.0
1980,Junior College 2,Commerce,M,128.0
1980,Junior College 2,Science,MF,3225.0
1980,Junior College 2,Science,F,1458.0
1980,Junior College 2,Science,M,1767.0
1980,Pre-University 1,Arts,MF,754.0
1980,Pre-University 1,Arts,F,521.0
1980,Pre-University 1,Arts,M,233.0
1980,Pre-University 1,Commerce,MF,1384.0
1980,Pre-University 1,Commerce,F,1006.0
1980,Pre-University 1,Commerce,M,378.0
1980,Pre-University 1,Science,MF,773.0
1980,Pre-University 1,Science,F,270.0
1980,Pre-University 1,Science,M,503.0
1980,Pre-University 2,Arts,MF,1038.0
1980,Pre-University 2,Arts,F,695.0
1980,Pre-University 2,Arts,M,343.0
1980,Pre-University 2,Commerce,MF,683.0
1980,Pre-University 2,Commerce,F,496.0
1980,Pre-University 2,Commerce,M,187.0
1980,Pre-University 2,Science,MF,727.0
1980,Pre-University 2,Science,F,306.0
1980,Pre-University 2,Science,M,421.0
1980,Pre-University 3,Arts,MF,
1980,Pre-University 3,Arts,F,
1980,Pre-University 3,Arts,M,
1980,Pre-University 3,Commerce,MF,
1980,Pre-University 3,Commerce,F,
1980,Pre-University 3,Commerce,M,
1980,Pre-University 3,Science,MF,
1980,Pre-University 3,Science,F,
1980,Pre-University 3,Science,M,
1981,Junior College 1,Arts,MF,777.0
1981,Junior College 1,Arts,F,576.0
1981,Junior College 1,Arts,M,201.0
1981,Junior College 1,Commerce,MF,1418.0
1981,Junior College 1,Commerce,F,1138.0
1981,Junior College 1,Commerce,M,280.0
1981,Junior College 1,Science,MF,3128.0
1981,Junior College 1,Science,F,1235.0
1981,Junior College 1,Science,M,1893.0
1981,Junior College 2,Arts,MF,1156.0
1981,Junior College 2,Arts,F,908.0
1981,Junior College 2,Arts,M,248.0
1981,Junior College 2,Commerce,MF,1204.0
1981,Junior College 2,Commerce,F,986.0
1981,Junior College 2,Commerce,M,218.0
1981,Junior College 2,Science,MF,3044.0
1981,Junior College 2,Science,F,1320.0
1981,Junior College 2,Science,M,1724.0
1981,Pre-University 1,Arts,MF,502.0
1981,Pre-University 1,Arts,F,348.0
1981,Pre-University 1,Arts,M,154.0
1981,Pre-University 1,Commerce,MF,1301.0
1981,Pre-University 1,Commerce,F,913.0
1981,Pre-University 1,Commerce,M,388.0
1981,Pre-University 1,Science,MF,908.0
1981,Pre-University 1,Science,F,274.0
1981,Pre-University 1,Science,M,634.0
1981,Pre-University 2,Arts,MF,733.0
1981,Pre-University 2,Arts,F,505.0
1981,Pre-University 2,Arts,M,228.0
1981,Pre-University 2,Commerce,MF,1200.0
1981,Pre-University 2,Commerce,F,874.0
1981,Pre-University 2,Commerce,M,326.0
1981,Pre-University 2,Science,MF,965.0
1981,Pre-University 2,Science,F,314.0
1981,Pre-University 2,Science,M,651.0
1981,Pre-University 3,Arts,MF,839.0
1981,Pre-University 3,Arts,F,581.0
1981,Pre-University 3,Arts,M,258.0
