year,sex,nus,ntu,smu,sit,sutd,suss,nie,singapore_polytechnic,ngee_ann_polytechnic,temasek_polytechnic,nanyang_polytechnic,republic_polytechnic,lasalle_diploma,lasalle_degree,nafa_diploma,nafa_degree,ite
1982,MF,11093,582,,,,,1000,5339,3660,,,,,,,,10303
1982,F,5563,57,,,,,808,1069,1153,,,,,,,,2130
1982,M,5530,525,,,,,192,4270,2507,,,,,,,,8173
1983,MF,11939,1267,,,,,1078,6136,4825,,,,,,,,10664
1983,F,6596,120,,,,,853,1318,1650,,,,,,,,2753
1983,M,5343,1147,,,,,225,4818,3175,,,,,,,,7911
1984,MF,12721,1945,,,,,776,7129,6919,,,,,,,,9419
1984,F,7076,230,,,,,605,1679,2374,,,,,,,,2831
1984,M,5645,1715,,,,,171,5450,4545,,,,,,,,6588
1985,MF,13617,2078,,,,,1166,7894,8516,,,,,,,,13890
1985,F,7396,253,,,,,922,1924,2993,,,,,,,,3839
1985,M,6221,1825,,,,,244,5970,5523,,,,,,,,10051
1986,MF,14150,2202,,,,,1331,8099,9617,,,,,,,,14666
1986,F,7581,302,,,,,1093,2041,3470,,,,,,,,4682
1986,M,6569,1900,,,,,238,6058,6147,,,,,,,,9984
1987,MF,13238,3940,,,,,1306,9193,10237,,,,,,,,16539
1987,F,6822,1486,,,,,1085,2514,3910,,,,,,,,5601
1987,M,6416,2454,,,,,221,6679,6327,,,,,,,,10938
1988,MF,14317,4400,,,,,1058,9709,10448,,,,,,,,17643
1988,F,7490,1750,,,,,849,2905,4037,,,,,,,,5627
1988,M,6827,2650,,,,,209,6804,6411,,,,,,,,12016
1989,MF,14645,5475,,,,,1337,10620,11341,,,,,,,,17353
1989,F,7857,2123,,,,,1032,3459,4477,,,,,,,,5751
1989,M,6788,3352,,,,,305,7161,6864,,,,,,,,11602
1990,MF,15193,6812,,,,,1577,11348,11995,735.0,,,,,,,15919
1990,F,8107,2689,,,,,1212,3878,4817,552.0,,,,,,,5304
1990,M,7086,4123,,,,,365,7470,7178,183.0,,,,,,,10615
1991,MF,14597,8712,,,,,1676,12327,12759,1472.0,,,,,,,15326
1991,F,7972,3139,,,,,1336,4498,5316,1006.0,,,,,,,5172
1991,M,6625,5573,,,,,340,7829,7443,466.0,,,,,,,10154
1992,MF,14922,9900,,,,,1559,13257,13330,2268.0,699.0,,,,,,14975
1992,F,8096,3543,,,,,1189,5073,5527,1490.0,580.0,,,,,,4942
1992,M,6826,6357,,,,,370,8184,7803,778.0,119.0,,,,,,10033
1993,MF,15395,10410,,,,,1700,13578,13353,3107.0,3944.0,,,,,,14903
1993,F,8276,3802,,,,,1287,5297,5473,1826.0,1946.0,,,,,,4625
1993,M,7119,6608,,,,,413,8281,7880,1281.0,1998.0,,,,,,10278
1994,MF,16137,11052,,,,,1394,13865,13637,3854.0,5785.0,,,,,,12254
1994,F,8644,4220,,,,,1019,5361,5624,2156.0,3199.0,,,,,,3649
1994,M,7493,6832,,,,,375,8504,8013,1698.0,2586.0,,,,,,8605
1995,MF,16984,11545,,,,,1341,14019,14249,5443.0,7291.0,,,,,,9300
1995,F,9172,4741,,,,,997,5202,5858,3026.0,4066.0,,,,,,2726
1995,M,7812,6804,,,,,344,8817,8391,2417.0,3225.0,,,,,,6574
1996,MF,17669,12186,,,,,2040,13912,14480,7681.0,7764.0,,,,,,8266
1996,F,9663,5030,,,,,1507,5180,6113,4076.0,4381.0,,,,,,2227
1996,M,8006,7156,,,,,533,8732,8367,3605.0,3383.0,,,,,,6039
1997,MF,18174,12760,,,,,2169,13755,14760,9806.0,8271.0,,,,,,8323
1997,F,10063,5312,,,,,1528,5143,6169,5157.0,4620.0,,,,,,2119
1997,M,8111,7448,,,,,641,8612,8591,4649.0,3651.0,,,,,,6204
1998,MF,18791,13318,,,,,2196,13695,14300,11462.0,9277.0,,,,,,13808
1998,F,10326,5494,,,,,1572,5316,6001,5942.0,5129.0,,,,,,3942
1998,M,8465,7824,,,,,624,8379,8299,5520.0,4148.0,,,,,,9866
1999,MF,19873,13849,,,,,3299,13581,14433,12230.0,10514.0,,,,,,16464
1999,F,10814,5740,,,,,2333,5352,6211,6300.0,5647.0,,,,,,4339
1999,M,9059,8109,,,,,966,8229,8222,5930.0,4867.0,,,,,,12125
2000,MF,21233,14583,305.0,,,,3072,13459,14378,12733.0,11463.0,,,,,,15974
2000,F,11341,6223,212.0,,,,2247,5408,6419,6446.0,5989.0,,,,,,4343
2000,M,9892,8360,93.0,,,,825,8051,7959,6287.0,5474.0,,,,,,11631
2001,MF,22172,15008,803.0,,,,3095,13754,14317,13143.0,12385.0,,,,,,16176
2001,F,11781,6504,579.0,,,,2292,5521,6623,6501.0,6379.0,,,,,,4584
2001,M,10391,8504,224.0,,,,803,8233,7694,6642.0,6006.0,,,,,,11592
2002,MF,22169,15598,1389.0,,,,3368,14271,13989,13324.0,13105.0,,,,,,17468
2002,F,11653,6822,974.0,,,,2455,5670,6626,6579.0,6892.0,,,,,,5138
