year,sex,nus,ntu,smu,sit,sutd,suss,nie,singapore_polytechnic,ngee_ann_polytechnic,temasek_polytechnic,nanyang_polytechnic,republic_polytechnic,lasalle_diploma,lasalle_degree,nafa_diploma,nafa_degree,ite
1983,MF,2905,0,,,,,597,1624,928,,,,,,,,6779
1983,F,1508,0,,,,,453,316,343,,,,,,,,905
1983,M,1397,0,,,,,144,1308,585,,,,,,,,5874
1984,MF,3409,0,,,,,875,1773,1293,,,,,,,,6281
1984,F,1826,0,,,,,687,371,456,,,,,,,,1785
1984,M,1583,0,,,,,188,1402,837,,,,,,,,4496
1985,MF,3454,557,,,,,531,1862,1543,,,,,,,,7597
1985,F,2117,56,,,,,407,410,589,,,,,,,,2300
1985,M,1337,501,,,,,124,1452,954,,,,,,,,5297
1986,MF,3860,661,,,,,756,2258,1931,,,,,,,,8472
1986,F,2476,64,,,,,580,494,765,,,,,,,,2638
1986,M,1384,597,,,,,176,1764,1166,,,,,,,,5834
1987,MF,3974,664,,,,,852,2540,2710,,,,,,,,8797
1987,F,2390,104,,,,,679,677,944,,,,,,,,2851
1987,M,1584,560,,,,,173,1863,1766,,,,,,,,5946
1988,MF,3624,1122,,,,,1022,2645,3059,,,,,,,,9025
1988,F,1993,386,,,,,806,674,1181,,,,,,,,3276
1988,M,1631,736,,,,,216,1971,1878,,,,,,,,5749
1989,MF,3986,1316,,,,,833,2594,2941,,,,,,,,7532
1989,F,2150,522,,,,,621,702,1082,,,,,,,,2837
1989,M,1836,794,,,,,212,1892,1859,,,,,,,,4695
1990,MF,4001,1333,,,,,929,3112,3087,,,,,,,,7469
1990,F,2307,510,,,,,694,1011,1233,,,,,,,,2889
1990,M,1694,823,,,,,235,2101,1854,,,,,,,,4580
1991,MF,4440,1547,,,,,1026,3103,3210,89.0,,,,,,,6966
1991,F,2584,626,,,,,760,1030,1307,54.0,,,,,,,2674
1991,M,1856,921,,,,,266,2073,1903,35.0,,,,,,,4292
1992,MF,4615,2016,,,,,1223,3502,3765,87.0,,,,,,,6910
1992,F,2689,768,,,,,934,1261,1660,55.0,,,,,,,2736
1992,M,1926,1248,,,,,289,2241,2105,32.0,,,,,,,4174
1993,MF,4665,2583,,,,,1157,3978,3992,588.0,,,,,,,6889
1993,F,2655,1028,,,,,867,1472,1757,444.0,,,,,,,2535
1993,M,2010,1555,,,,,290,2506,2235,144.0,,,,,,,4354
1994,MF,4802,2713,,,,,1266,4241,4004,796.0,515.0,,,,,,6732
1994,F,2621,1005,,,,,942,1664,1818,501.0,103.0,,,,,,2301
1994,M,2181,1708,,,,,324,2577,2186,295.0,412.0,,,,,,4431
1995,MF,4920,3007,,,,,1056,4251,4075,866.0,966.0,,,,,,6082
1995,F,2803,1120,,,,,740,1762,1750,538.0,591.0,,,,,,1993
1995,M,2117,1887,,,,,316,2489,2325,328.0,375.0,,,,,,4089
1996,MF,5145,3073,,,,,946,4121,3855,1214.0,1981.0,,,,,,4650
1996,F,2944,1252,,,,,679,1615,1645,685.0,1077.0,,,,,,1547
1996,M,2201,1821,,,,,267,2506,2210,529.0,904.0,,,,,,3103
1997,MF,5493,3186,,,,,1597,4233,4073,1320.0,2222.0,,,,,,4073
1997,F,3021,1382,,,,,1148,1671,1869,741.0,1266.0,,,,,,1318
1997,M,2472,1804,,,,,449,2562,2204,579.0,956.0,,,,,,2755
1998,MF,5908,3423,,,,,1421,4001,4363,2208.0,2235.0,,,,,,5414
1998,F,3376,1500,,,,,997,1510,1861,1290.0,1297.0,,,,,,2375
1998,M,2532,1923,,,,,424,2491,2502,918.0,938.0,,,,,,3039
1999,MF,5762,3593,,,,,1653,4016,4337,2907.0,2416.0,,,,,,7718
1999,F,3337,1533,,,,,1175,1552,1915,1535.0,1355.0,,,,,,2585
1999,M,2425,2060,,,,,478,2464,2422,1372.0,1061.0,,,,,,5133
2000,MF,5631,3613,,,,,2445,3974,4187,3336.0,2562.0,,,,,,7650
2000,F,3270,1583,,,,,1681,1619,1844,1776.0,1471.0,,,,,,2429
2000,M,2361,2030,,,,,764,2355,2343,1560.0,1091.0,,,,,,5221
2001,MF,5958,3628,,,,,2022,3958,4257,3543.0,3178.0,,,,,,7208
2001,F,3454,1640,,,,,1418,1683,1823,1924.0,1811.0,,,,,,2484
2001,M,2504,1988,,,,,604,2275,2434,1619.0,1367.0,,,,,,4724
2002,MF,6277,3646,,,,,2186,3955,4399,3690.0,3537.0,,,,,,7084
2002,F,3613,1701,,,,,1570,1604,2069,1930.0,1874.0,,,,,,2499
2002,M,2664,1945,,,,,616,2351,2330,1760.0,1663.0,,,,,,4585
2003,MF,5960,4042,8.0,,,,2772,3981,4210,3837.0,3376.0,,,,,,7741
2003,F,3238,1808,4.0,,,,1965,1653,2056,1971.0,1775.0,,,,,,2778
2003,M,2722,2234,4.0,,,,807,2328,2154,1866.0,1601.0,,,,,,4963
2004,MF,5858,4067,240.0,,,,1989,4504,4289,4102.0,3939.0,,,,,,8127
2004,F,3161,1843,167.0,,,,1430,1871,2069,2072.0,2104.0,,,,,,3057
2004,M,2697,2224,73.0,,,,559,2633,2220,2030.0,1835.0,,,,,,5070
2005,MF,5575,4048,408.0,,,,2020,4537,4143,3633.0,4202.0,,369.0,,345.0,,9059
2005,F,3051,1964,315.0,,,,1341,1821,2068,1921.0,2303.0,,213.0,,200.0,,3492
2005,M,2524,2084,93.0,,,,679,2716,2075,1712.0,1899.0,,156.0,,145.0,,5567
2006,MF,5621,4241,565.0,,,,2096,4103,4084,3718.0,4114.0,619.0,370.0,,464.0,,10056
2006,F,3055,1974,399.0,,,,1416,1574,1990,1860.0,2385.0,291.0,227.0,,295.0,,3724
2006,M,2566,2267,166.0,,,,680,2529,2094,1858.0,1729.0,328.0,143.0,,169.0,,6332
2007,MF,5500,4845,826.0,,,,2348,3953,4013,3928.0,4591.0,928.0,438.0,,441.0,,10479
2007,F,2943,2127,500.0,,,,1590,1532,1911,2003.0,2645.0,435.0,268.0,,293.0,,4019
2007,M,2557,2718,326.0,,,,758,2421,2102,1925.0,1946.0,493.0,170.0,,148.0,,6460
2008,MF,5601,4808,1063.0,,,,2188,4250,4504,4565.0,4447.0,1551.0,481.0,,610.0,,10600
2008,F,2982,2286,686.0,,,,1486,1644,2247,2399.0,2391.0,815.0,296.0,,409.0,,4059
2008,M,2619,2522,377.0,,,,702,2606,2257,2166.0,2056.0,736.0,185.0,,201.0,,6541
2009,MF,5779,5058,1110.0,,,,2179,4334,4581,4815.0,4388.0,2106.0,566.0,,559.0,,10999
2009,F,3012,2570,562.0,,,,1492,1610,2186,2396.0,2279.0,1119.0,351.0,,389.0,,4311
2009,M,2767,2488,548.0,,,,687,2724,2395,2419.0,2109.0,987.0,215.0,,170.0,,6688
2010,MF,5833,5412,1206.0,,,,2416,4627,4534,4848.0,4483.0,2953.0,578.0,,518.0,,11334
2010,F,3124,2544,546.0,,,,1622,1700,2237,2429.0,2502.0,1594.0,371.0,,365.0,,4488
2010,M,2709,2868,660.0,,,,794,2927,2297,2419.0,1981.0,1359.0,207.0,,153.0,,6846
2011,MF,6088,5733,1504.0,,,,2415,4921,4857,5020.0,4829.0,3291.0,499.0,,583.0,,11165
2011,F,3403,2951,831.0,,,,1626,1982,2437,2429.0,2536.0,1722.0,333.0,,409.0,,4326
2011,M,2685,2782,673.0,,,,789,2939,2420,2591.0,2293.0,1569.0,166.0,,174.0,,6839
2012,MF,5969,5807,1603.0,233.0,,,2255,5016,4955,5133.0,4965.0,3930.0,511.0,,564.0,,11530
2012,F,3149,2909,919.0,134.0,,,1538,2060,2432,2545.0,2644.0,2083.0,316.0,,390.0,,4425
2012,M,2820,2898,684.0,99.0,,,717,2956,2523,2588.0,2321.0,1847.0,195.0,,174.0,,7105
2013,MF,6395,6476,1659.0,958.0,,,2178,5082,4983,4886.0,5146.0,4060.0,406.0,435.0,674.0,18.0,11888
2013,F,3281,3310,834.0,559.0,,,1447,2141,2420,2447.0,2729.0,2123.0,282.0,291.0,458.0,9.0,4580
2013,M,3114,3166,825.0,399.0,,,731,2941,2563,2439.0,2417.0,1937.0,124.0,144.0,216.0,9.0,7308
2014,MF,6210,5993,1602.0,1236.0,,,1732,5026,5166,5116.0,4983.0,4430.0,371.0,520.0,633.0,25.0,11062
2014,F,3224,2951,772.0,583.0,,,1125,1995,2513,2559.0,2603.0,2342.0,222.0,397.0,439.0,13.0,3883
2014,M,2986,3042,830.0,653.0,,,607,3031,2653,2557.0,2380.0,2088.0,149.0,123.0,194.0,12.0,7179
2015,MF,6179,5756,1639.0,1364.0,298.0,,1880,5057,5182,5119.0,4642.0,4631.0,346.0,363.0,617.0,24.0,13351
2015,F,3192,2777,840.0,602.0,136.0,,1328,1988,2568,2529.0,2400.0,2496.0,218.0,260.0,436.0,11.0,5140
2015,M,2987,2979,799.0,762.0,162.0,,552,3069,2614,2590.0,2242.0,2135.0,128.0,103.0,181.0,13.0,8211
2016,MF,6305,5856,1804.0,1285.0,246.0,,1628,5007,5258,5064.0,5161.0,4614.0,331.0,407.0,527.0,25.0,12516
2016,F,3332,3066,1030.0,539.0,93.0,,1076,1984,2512,2495.0,2727.0,2493.0,226.0,286.0,365.0,18.0,4863
2016,M,2973,2790,774.0,746.0,153.0,,552,3023,2746,2569.0,2434.0,2121.0,105.0,121.0,162.0,7.0,7653
2017,MF,6446,6174,1779.0,1494.0,267.0,,1292,4924,4886,5012.0,4999.0,4389.0,331.0,466.0,591.0,34.0,12858
2017,F,3350,3266,920.0,695.0,107.0,,899,2000,2400,2516.0,2605.0,2407.0,237.0,318.0,447.0,22.0,4808
2017,M,3096,2908,859.0,799.0,160.0,,393,2924,2486,2496.0,2394.0,1982.0,94.0,148.0,144.0,12.0,8050
2018,MF,6700,5990,1887.0,1744.0,334.0,168.0,1153,4380,4687,4556.0,4584.0,4407.0,333.0,429.0,668.0,15.0,13421
2018,F,3606,2953,903.0,749.0,152.0,112.0,843,1809,2314,2290.0,2414.0,2348.0,216.0,319.0,488.0,10.0,5026
2018,M,3094,3037,984.0,995.0,182.0,56.0,310,2571,2373,2266.0,2170.0,2059.0,117.0,110.0,180.0,5.0,8395
2019,MF,6631,5997,1842.0,1759.0,431.0,251.0,1339,4389,4484,4305.0,4288.0,4066.0,331.0,487.0,735.0,19.0,12595
2019,F,3553,2836,984.0,836.0,167.0,180.0,939,1724,2265,2029.0,2256.0,2162.0,205.0,356.0,547.0,14.0,4930
2019,M,3078,3161,858.0,923.0,264.0,71.0,400,2665,2219,2276.0,2032.0,1904.0,126.0,131.0,188.0,5.0,7665
2020,MF,6885,5840,1883.0,2172.0,373.0,381.0,1390,4619,4583,4610.0,4434.0,4014.0,398.0,456.0,694.0,22.0,13144
2020,F,3572,2882,1023.0,890.0,128.0,259.0,1000,1853,2445,2190.0,2224.0,2091.0,264.0,330.0,505.0,12.0,5027
2020,M,3313,2958,860.0,1282.0,245.0,122.0,390,2766,2138,2420.0,2210.0,1923.0,134.0,126.0,189.0,10.0,8117
2021,MF,6874,5691,1914.0,1991.0,449.0,519.0,1327,4484,4591,4543.0,4689.0,4138.0,366.0,402.0,706.0,28.0,13224
2021,F,3356,2744,1043.0,863.0,145.0,374.0,950,1758,2460,2206.0,2352.0,2107.0,245.0,300.0,506.0,18.0,5173
2021,M,3518,2947,871.0,1128.0,304.0,145.0,377,2726,2131,2337.0,2337.0,2031.0,121.0,102.0,200.0,10.0,8051
2022,MF,7277,6020,1982.0,2185.0,401.0,662.0,1192,4300,4362,4382.0,4201.0,3519.0,352.0,396.0,623.0,19.0,13332
2022,F,3793,2820,1116.0,831.0,155.0,458.0,817,1699,2316,2134.0,2155.0,1818.0,237.0,292.0,455.0,12.0,5206
2022,M,3484,3200,866.0,1354.0,246.0,204.0,375,2601,2046,2248.0,2046.0,1701.0,115.0,104.0,168.0,7.0,8126
