year,sex,course,intake,enrolment,graduates
2009,MF,Applied and Health Sciences,1156,2172,944
2009,F,Applied and Health Sciences,710,1369,593
2009,M,Applied and Health Sciences,446,803,351
2009,MF,Business & Services,4076,6316,3429
2009,F,Business & Services,2799,4188,2435
2009,M,Business & Services,1277,2128,994
2009,MF,Design & Media,541,895,308
2009,F,Design & Media,268,418,142
2009,M,Design & Media,273,477,166
2009,MF,Engineering,4121,8237,3463
2009,F,Engineering,500,964,369
2009,M,Engineering,3621,7273,3094
2009,MF,Electronics & Infocomm Technology,3811,7226,2855
2009,F,Electronics & Infocomm Technology,1037,1905,772
2009,M,Electronics & Infocomm Technology,2774,5321,2083
2009,MF,Hospitality,0,0,0
2009,F,Hospitality,0,0,0
2009,M,Hospitality,0,0,0
2010,MF,Applied and Health Sciences,1138,2198,987
2010,F,Applied and Health Sciences,680,1336,637
2010,M,Applied and Health Sciences,458,862,350
2010,MF,Business & Services,4098,6321,3591
2010,F,Business & Services,2754,4138,2474
2010,M,Business & Services,1344,2183,1117
2010,MF,Design & Media,611,1094,420
2010,F,Design & Media,320,548,181
2010,M,Design & Media,291,546,239
2010,MF,Engineering,4147,7891,3179
2010,F,Engineering,522,968,366
2010,M,Engineering,3625,6923,2813
2010,MF,Electronics & Infocomm Technology,3892,7285,3157
2010,F,Electronics & Infocomm Technology,972,1866,830
2010,M,Electronics & Infocomm Technology,2920,5419,2327
2010,MF,Hospitality,0,0,0
2010,F,Hospitality,0,0,0
2010,M,Hospitality,0,0,0
2011,MF,Applied and Health Sciences,1293,2447,940
2011,F,Applied and Health Sciences,847,1560,591
2011,M,Applied and Health Sciences,446,887,349
2011,MF,Business & Services,4232,6462,3509
2011,F,Business & Services,2681,4060,2300
2011,M,Business & Services,1551,2402,1209
2011,MF,Design & Media,603,1156,507
2011,F,Design & Media,322,609,245
2011,M,Design & Media,281,547,262
2011,MF,Engineering,4222,7997,3128
2011,F,Engineering,615,1068,386
2011,M,Engineering,3607,6929,2742
2011,MF,Electronics & Infocomm Technology,3748,7217,3081
2011,F,Electronics & Infocomm Technology,1019,1861,804
2011,M,Electronics & Infocomm Technology,2729,5356,2277
2011,MF,Hospitality,603,1156,507
2011,F,Hospitality,322,609,245
2011,M,Hospitality,281,547,262
2012,MF,Applied and Health Sciences,1261,2469,1097
2012,F,Applied and Health Sciences,769,1553,702
2012,M,Applied and Health Sciences,492,916,395
2012,MF,Business & Services,3839,5885,3065
2012,F,Business & Services,2372,3623,2024
2012,M,Business & Services,1467,2262,1041
2012,MF,Design & Media,604,1157,534
2012,F,Design & Media,288,580,284
2012,M,Design & Media,316,577,250
2012,MF,Engineering,4229,8078,3352
2012,F,Engineering,519,1023,448
2012,M,Engineering,3710,7055,2904
2012,MF,Electronics & Infocomm Technology,3462,6810,3130
2012,F,Electronics & Infocomm Technology,945,1820,793
2012,M,Electronics & Infocomm Technology,2517,4990,2337
2012,MF,Hospitality,511,971,352
2012,F,Hospitality,251,486,174
2012,M,Hospitality,260,485,178
2013,MF,Applied and Health Sciences,1219,2346,1058
2013,F,Applied and Health Sciences,750,1470,683
2013,M,Applied and Health Sciences,469,876,375
2013,MF,Business & Services,3916,6257,3387
